# time        ID        size        fromHost        toHost        
762.0000       IMSG1       550293         GAMMA4         ALPHA1        
1349.0000       IMSG2       660010         BETA2         ALPHA1        
1916.0000       IMSG3       877126         BETA2         GAMMA4        
2281.0000       AMSG1       612240         ALPHA0         ALPHA1        
2701.0000       IMSG4       815528         ALPHA0         BETA3        
3516.0000       IMSG5       676888         BETA3         GAMMA4        
4398.0000       IMSG6       835514         ALPHA0         ALPHA1        
5127.0000       IMSG7       752893         ALPHA0         ALPHA1        
5273.0000       AMSG2       664282         GAMMA4         BETA2        
6067.0000       IMSG8       869368         ALPHA0         GAMMA4        
6761.0000       IMSG9       549038         BETA3         GAMMA4        
7616.0000       IMSG10       596284         BETA3         ALPHA1        
8015.0000       AMSG3       744779         BETA3         ALPHA1        
8522.0000       IMSG11       557704         ALPHA1         BETA2        
9046.0000       IMSG12       543315         ALPHA0         ALPHA1        
9619.0000       IMSG13       943712         BETA2         BETA3        
10573.0000       IMSG14       615106         ALPHA1         BETA2        
10972.0000       AMSG4       818804         GAMMA4         BETA3        
11284.0000       IMSG15       753799         GAMMA4         ALPHA1        
12162.0000       IMSG16       798104         BETA3         BETA2        
12908.0000       IMSG17       522133         ALPHA0         ALPHA1        
13720.0000       AMSG5       829513         ALPHA0         BETA2        
13832.0000       IMSG18       965686         BETA3         BETA2        
14815.0000       IMSG19       628248         ALPHA0         GAMMA4        
15327.0000       IMSG20       764779         GAMMA4         BETA2        
15837.0000       AMSG6       696528         BETA2         ALPHA0        
15901.0000       IMSG21       969132         ALPHA0         BETA2        
16492.0000       IMSG22       728350         ALPHA0         ALPHA1        
17325.0000       IMSG23       785722         ALPHA1         GAMMA4        
18102.0000       IMSG24       876509         BETA2         ALPHA1        
18358.0000       AMSG7       545194         ALPHA0         GAMMA4        
18780.0000       IMSG25       840288         ALPHA0         ALPHA1        
19615.0000       IMSG26       989029         BETA2         BETA3        
20370.0000       IMSG27       941688         BETA3         ALPHA0        
20483.0000       AMSG8       656178         ALPHA1         GAMMA4        
21056.0000       IMSG28       530014         GAMMA4         BETA3        
22049.0000       IMSG29       656085         ALPHA0         BETA3        
22907.0000       IMSG30       796074         BETA2         BETA3        
23181.0000       AMSG9       537448         GAMMA4         ALPHA0        
23786.0000       IMSG31       690940         ALPHA0         GAMMA4        
24783.0000       IMSG32       549203         GAMMA4         ALPHA0        
25561.0000       IMSG33       902130         ALPHA1         GAMMA4        
25901.0000       AMSG10       664703         ALPHA1         BETA3        
26389.0000       IMSG34       672361         GAMMA4         BETA2        
27108.0000       IMSG35       640543         ALPHA1         BETA2        
27732.0000       IMSG36       864275         BETA3         GAMMA4        
28087.0000       AMSG11       986289         BETA3         BETA2        
28520.0000       IMSG37       605717         ALPHA0         BETA3        
29207.0000       IMSG38       538480         BETA2         GAMMA4        
30133.0000       IMSG39       856136         GAMMA4         BETA2        
30941.0000       IMSG40       678853         ALPHA1         ALPHA0        
31024.0000       AMSG12       502130         BETA3         BETA2        
31925.0000       IMSG41       753437         ALPHA0         ALPHA1        
32685.0000       IMSG42       607178         GAMMA4         ALPHA0        
33675.0000       IMSG43       949890         ALPHA0         ALPHA1        
33969.0000       AMSG13       835201         ALPHA1         BETA3        
34292.0000       IMSG44       659703         GAMMA4         ALPHA1        
35100.0000       IMSG45       538193         BETA3         GAMMA4        
35951.0000       IMSG46       656325         BETA3         ALPHA0        
36613.0000       AMSG14       881211         GAMMA4         BETA2        
36908.0000       IMSG47       673283         ALPHA1         BETA2        
37851.0000       IMSG48       947099         ALPHA1         ALPHA0        
38375.0000       IMSG49       717718         GAMMA4         ALPHA0        
38937.0000       IMSG50       833484         BETA2         ALPHA0        
39278.0000       AMSG15       637226         BETA2         ALPHA1        
39790.0000       IMSG51       618950         BETA3         ALPHA1        
40705.0000       IMSG52       921774         ALPHA1         BETA3        
41539.0000       IMSG53       736885         GAMMA4         ALPHA1        
41943.0000       AMSG16       591323         BETA3         ALPHA0        
