# time        ID        Message_Size        HopCount        DeliveryTime        Host        Destination        Path 
2980.2000    IMSG1        550293               1              2218.2000              GAMMA4           ALPHA1           GAMMA4->ALPHA1        
3751.7000    IMSG3        877126               1              1835.7000              BETA2           GAMMA4           BETA2->GAMMA4        
3753.0000    IMSG4        815528               1              1052.0000              ALPHA0           BETA3           ALPHA0->BETA3        
4749.0000    IMSG5        676888               2              1233.0000              BETA3           GAMMA4           BETA3->GAMMA5->GAMMA4        
4943.4000    AMSG1        612240               2              2662.4000              ALPHA0           ALPHA1           ALPHA0->GAMMA4->ALPHA1        
4946.1000    IMSG2        660010               2              3597.1000              BETA2           ALPHA1           BETA2->GAMMA4->ALPHA1        
5319.6000    AMSG2        664282               2              46.6000              GAMMA4           BETA2           GAMMA4->ALPHA1->BETA2        
7160.3000    IMSG9        549038               1              399.3000              BETA3           GAMMA4           BETA3->GAMMA4        
10651.9000    IMSG6        835514               1              6253.9000              ALPHA0           ALPHA1           ALPHA0->ALPHA1        
10655.0000    IMSG7        752893               1              5528.0000              ALPHA0           ALPHA1           ALPHA0->ALPHA1        
10657.2000    IMSG12        543315               1              1611.2000              ALPHA0           ALPHA1           ALPHA0->ALPHA1        
10833.0000    AMSG3        744779               1              2818.0000              BETA3           ALPHA1           BETA3->ALPHA1        
11276.0000    IMSG8        869368               2              5209.0000              ALPHA0           GAMMA4           ALPHA0->BETA2->GAMMA4        
11448.6000    IMSG15        753799               2              164.6000              GAMMA4           ALPHA1           GAMMA4->BETA2->ALPHA1        
11450.9000    IMSG11        557704               1              2928.9000              ALPHA1           BETA2           ALPHA1->BETA2        
11453.4000    IMSG14        615106               1              880.4000              ALPHA1           BETA2           ALPHA1->BETA2        
11748.2000    AMSG4        818804               2              776.2000              GAMMA4           BETA3           GAMMA4->BETA2->BETA3        
11752.0000    IMSG13        943712               3              2133.0000              BETA2           BETA3           BETA2->GAMMA4->BETA2->BETA3        
14185.4000    AMSG5        829513               1              465.4000              ALPHA0           BETA2           ALPHA0->BETA2        
14190.9000    IMSG17        522133               1              1282.9000              ALPHA0           ALPHA1           ALPHA0->ALPHA1        
17842.5000    IMSG20        764779               2              2515.5000              GAMMA4           BETA2           GAMMA4->BETA3->BETA2        
17845.7000    IMSG16        798104               1              5683.7000              BETA3           BETA2           BETA3->BETA2        
17849.6000    IMSG18        965686               1              4017.6000              BETA3           BETA2           BETA3->BETA2        
18065.7000    AMSG6        696528               2              2228.7000              BETA2           ALPHA0           BETA2->ALPHA1->ALPHA0        
